model_name,optimizer_name,epoch,train_loss,train_acc,test_loss,test_acc,epoch_train_time,epoch_test_time
Classic,Adam,1,0.037464816156650586,77.92,10302.510183331182,75.87,12.475467920303345,14.038366317749023
Classic,Adam,2,0.007942376154568047,88.54166666666667,16688.11309969898,75.17,12.019496440887451,13.649516105651855
Classic,Adam,3,0.012307859810377703,88.775,10570.431347621025,85.74,11.957622289657593,13.567208766937256
Classic,Adam,4,0.003980766531667905,93.10333333333334,3673.4516689757393,92.62,12.386192321777344,13.927934646606445
Classic,Adam,5,0.003262172042896661,94.03666666666666,117.86287930700209,92.19,12.676069021224976,14.253586769104004
Classic,Adam,6,0.002900198098878415,94.70166666666667,1059.3584145988843,93.67,11.944614171981812,13.424112558364868
Classic,Adam,7,0.0025264478550719406,95.325,527.3479633591984,93.96,11.595874786376953,13.082079648971558
Classic,Adam,8,0.00226051535588922,95.75833333333334,464.37298723685853,94.45,11.52625560760498,13.025658369064331
Classic,Adam,9,0.001994421418127604,96.24333333333334,777.9948794140043,94.21,11.714852571487427,13.181350469589233
Classic,Adam,10,0.0017487208816572093,96.645,250.43903919334383,94.76,11.69057846069336,13.2164785861969
Classic,AdaMax,1,0.010887759741147359,83.66,0.1544245156161487,82.01,11.59745192527771,13.014037609100342
Classic,AdaMax,2,0.0062250857622983555,88.745,1.9532192054789512,89.15,11.016974210739136,12.483058214187622
Classic,AdaMax,3,0.005046710335245977,90.815,0.12767004905743523,91.43,11.423452377319336,12.843722105026245
Classic,AdaMax,4,0.004042480622200916,92.58833333333334,0.14576670249942691,92.91,11.719510078430176,13.326338291168213
Classic,AdaMax,5,0.0032860280983926108,93.88166666666666,0.16807325641067,93.26,11.74123239517212,13.21577262878418
Classic,AdaMax,6,0.002699942311543661,94.91666666666667,0.1480386806736933,94.1,10.91474437713623,12.393192052841187
Classic,AdaMax,7,0.0022660392758475307,95.71333333333334,0.014671597675408703,94.94,12.689781665802002,14.23563289642334
Classic,AdaMax,8,0.0019543026463788313,96.27,0.027047982586565194,95.26,10.924773454666138,12.370468616485596
Classic,AdaMax,9,0.0017366552440954061,96.72,0.04578150536012836,95.49,11.561164379119873,13.029998064041138
Classic,AdaMax,10,0.0015847308517666534,97.01333333333334,0.051852390389225914,95.66,11.28701639175415,12.750455141067505
Classic,AdaDelta,1,0.0036737344685010614,93.37166666666667,0.0022144762385403736,95.57,12.437100887298584,13.93056869506836
Classic,AdaDelta,2,0.0016766026788468784,96.795,0.0016777543079224415,96.65,11.104259967803955,12.552825450897217
Classic,AdaDelta,3,0.0011717400086907826,97.84833333333333,0.0014650377746816957,96.92,12.200975179672241,14.238956451416016
Classic,AdaDelta,4,0.0008877557928111249,98.45166666666667,0.0013545474270373233,97.2,13.410384178161621,14.998569011688232
Classic,AdaDelta,5,0.00071247272954303,98.73833333333333,0.0013099274957334274,97.33,12.281437397003174,13.805707931518555
Classic,AdaDelta,6,0.0005938713944342453,98.98333333333333,0.0012981000590858458,97.37,11.932064533233643,13.49574089050293
Classic,AdaDelta,7,0.0005143546238376681,99.17166666666667,0.0013081085579549835,97.36,11.5771963596344,13.05754542350769
Classic,AdaDelta,8,0.00046341936559862615,99.28666666666666,0.0013177127351736999,97.36,11.522722959518433,13.063117504119873
Classic,AdaDelta,9,0.00042762365721282547,99.35166666666667,0.0013217070358456113,97.39,11.667316675186157,13.17948842048645
Classic,AdaDelta,10,0.0004024609974968674,99.40166666666667,0.0013266867194397492,97.4,11.998126029968262,13.530827283859253
Binary,Adam,1,0.03766825524866581,57.84166666666667,0.03454463825821877,53.08,14.263033390045166,16.046316862106323
Binary,Adam,2,0.020012275841832163,71.54666666666667,0.08738357381820679,49.63,14.493362665176392,16.612656831741333
Binary,Adam,3,0.015517881730447212,76.71333333333334,0.01501377334445715,78.72,16.317604064941406,18.209778308868408
Binary,Adam,4,0.010680475637565056,81.6,0.014806026765704155,74.14,14.807508945465088,16.517120361328125
Binary,Adam,5,0.009728489877407749,83.48166666666667,0.009414948607236146,85.92,12.840182781219482,14.378204584121704
Binary,Adam,6,0.0089604676551496,85.135,0.016083503122627737,78.19,13.815296649932861,15.553809642791748
Binary,Adam,7,0.00820901898170511,86.01166666666667,0.009480677523463965,85.32,13.324771881103516,15.096493244171143
Binary,Adam,8,0.00772547981714209,86.485,0.00863259510807693,86.46,13.413401126861572,15.069337368011475
Binary,Adam,9,0.007398193809948861,87.055,0.00936461960375309,84.62,14.005255937576294,16.152589559555054
Binary,Adam,10,0.007114277197420597,87.39,0.008377709184959531,86.7,15.434310913085938,17.022719144821167
Binary,AdaMax,1,0.014231238860140244,74.01833333333333,0.012396576220542193,79.31,14.84550404548645,16.451956033706665
Binary,AdaMax,2,0.008352300773312648,84.17333333333333,0.010200647186860442,85.02,13.409804821014404,15.20197081565857
Binary,AdaMax,3,0.006867384179246923,87.16,0.007059731450304389,88.1,13.857327699661255,15.787704229354858
Binary,AdaMax,4,0.005808584851585329,89.20333333333333,0.005712264193361625,90.54,14.294386863708496,15.996881484985352
Binary,AdaMax,5,0.005048385549088319,90.67666666666666,0.005382762415334582,90.34,13.991908550262451,15.670826435089111
Binary,AdaMax,6,0.004470965753433605,91.54,0.004863386661466211,90.78,13.110801696777344,14.796389818191528
Binary,AdaMax,7,0.004051299435955783,92.31166666666667,0.00480723806489259,91.24,13.529711723327637,15.383394479751587
Binary,AdaMax,8,0.0037864385408349333,92.80333333333333,0.00464287552353926,91.25,13.736201286315918,15.55571174621582
