model_name,optimizer_name,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
Binary,Adam,1,0.007172304878234863,36.304,0.006311583912372589,43.54,37.28588676452637
Binary,Adam,2,0.006170301606655121,44.54,0.005976209616661072,46.51,36.2849223613739
Binary,Adam,3,0.005715499892234802,48.698,0.0056693045675754545,49.66,37.31055665016174
Binary,Adam,4,0.005347455754280091,51.792,0.005332717299461364,52.96,38.639405727386475
Binary,Adam,5,0.005067850384712219,54.246,0.005554866206645965,51.53,38.012582302093506
Binary,Adam,6,0.004864986345767975,56.09,0.00524911630153656,53.83,38.59127402305603
Binary,Adam,7,0.004620420676469803,58.408,0.005223005306720734,54.39,38.799203395843506
Binary,Adam,8,0.004457786693572998,59.874,0.0050448885679245,55.79,38.975892543792725
Binary,Adam,9,0.004300925456285477,61.13,0.00505064315199852,56.13,40.151888608932495
Binary,Adam,10,0.004147304142713547,62.606,0.005100475919246674,56.04,39.74759578704834
Binary,AdaMax,1,0.007425653007030487,33.804,0.006531061089038849,42.06,41.524513959884644
Binary,AdaMax,2,0.0064668801283836366,41.994,0.006097620439529419,45.72,40.36440443992615
Binary,AdaMax,3,0.006083040368556976,45.496,0.005889221239089966,47.45,39.9769241809845
Binary,AdaMax,4,0.005821184251308441,47.84,0.0058841747879981995,47.99,40.24387574195862
Binary,AdaMax,5,0.005564487700462342,49.972,0.005626229512691498,50.56,40.30160617828369
Binary,AdaMax,6,0.005347082855701447,51.988,0.005606667602062226,50.91,40.26282000541687
Binary,AdaMax,7,0.005188909227848053,53.396,0.0054109073281288144,52.13,39.86304497718811
Binary,AdaMax,8,0.005059655900001526,54.452,0.005470178806781769,51.84,39.95942449569702
Binary,AdaMax,9,0.004925945930480957,55.636,0.0055730679988861085,50.87,39.53251385688782
Binary,AdaMax,10,0.004792828350067138,56.812,0.005363142096996307,52.99,39.981353998184204
Binary,AdaDelta,1,0.010197085146903992,9.736,0.009843599438667297,9.38,42.61944818496704
Binary,AdaDelta,2,0.010171396126747131,9.926,0.00980272159576416,9.49,40.83346366882324
Binary,AdaDelta,3,0.010174886856079101,9.788,0.009809238409996033,10.02,40.71066069602966
Binary,AdaDelta,4,0.010157655873298645,10.08,0.009762763619422913,9.92,40.80666899681091
Binary,AdaDelta,5,0.010141625318527222,10.138,0.009774742126464843,10.68,40.68249845504761
Binary,AdaDelta,6,0.010132751460075378,10.198,0.009752468156814575,10.55,40.80363869667053
Binary,AdaDelta,7,0.010114821920394897,10.294,0.009740362024307251,10.4,41.49654221534729
Binary,AdaDelta,8,0.010139359545707702,10.094,0.009743269515037536,10.6,40.89698934555054
Binary,AdaDelta,9,0.010102595314979554,10.378,0.009721657371520996,10.54,40.09595513343811
Binary,AdaDelta,10,0.010105485496520995,10.264,0.009706393814086915,10.22,40.844090938568115
Classic,Adam,1,0.004675261392593384,57.574,0.003949136191606521,65.42,34.15641951560974
Classic,Adam,2,0.0031050655710697173,72.154,0.0034274366319179536,70.37,33.45117425918579
Classic,Adam,3,0.002382209722399712,79.054,0.003261846685409546,71.96,33.67805862426758
Classic,Adam,4,0.0018166068616509439,84.396,0.0033868031322956084,71.73,33.51618838310242
Classic,Adam,5,0.001344056639969349,89.03,0.0032437677443027495,73.58,33.99716258049011
Classic,Adam,6,0.0009895197427272798,92.116,0.0030523296058177947,75.46,33.62782073020935
Classic,Adam,7,0.0007687605341523886,94.022,0.0036047985196113585,73.18,33.41248941421509
Classic,Adam,8,0.0005746632343530655,95.704,0.0033174598693847656,75.65,33.181483030319214
Classic,Adam,9,0.0004038982421904802,97.096,0.003590424817800522,74.48,33.531580686569214
Classic,Adam,10,0.0003030465003848076,97.956,0.0033291126787662506,76.73,33.31440758705139
Classic,AdaMax,1,0.004903509258031845,55.724,0.00403708147406578,64.88,33.4791464805603
Classic,AdaMax,2,0.003359542121887207,70.44,0.0035487577795982363,69.31,33.51002097129822
Classic,AdaMax,3,0.002641776580810547,77.272,0.00334792338013649,71.33,34.09501791000366
Classic,AdaMax,4,0.002019328708052635,83.61,0.0032125475108623503,72.96,33.770161390304565
Classic,AdaMax,5,0.0014875506602227688,89.052,0.0030203416883945464,74.74,34.127641439437866
Classic,AdaMax,6,0.001041985780224204,93.414,0.003136753499507904,74.09,33.81906294822693
Classic,AdaMax,7,0.0007189325212687254,96.154,0.0035549537062644957,72.17,33.96466112136841
Classic,AdaMax,8,0.0005326452694833279,97.31,0.003961865150928497,70.33,33.750248193740845
Classic,AdaMax,9,0.00041642543826252225,97.94,0.0036358955085277556,72.88,33.56978797912598
Classic,AdaMax,10,0.00029738922137767076,98.68,0.0036815326154232024,72.79,34.09380745887756
Classic,AdaDelta,1,0.008975274057388306,16.396,0.008297878170013429,25.87,34.1606719493866
Classic,AdaDelta,2,0.008110472645759582,25.372,0.007665166640281678,32.93,34.35803818702698
Classic,AdaDelta,3,0.007615845530033112,30.54,0.007272704112529754,37.02,34.477530002593994
Classic,AdaDelta,4,0.007292658681869507,34.05,0.006998062515258789,39.71,34.06535792350769
Classic,AdaDelta,5,0.007029585516452789,36.622,0.006789519286155701,41.58,34.46361541748047
Classic,AdaDelta,6,0.006833856196403504,38.432,0.0066195305824279784,42.96,33.76796197891235
Classic,AdaDelta,7,0.006671844367980957,39.84,0.00647767596244812,44.34,35.17509961128235
Classic,AdaDelta,8,0.006523750858306885,41.484,0.0063540406465530394,45.4,34.08211898803711
Classic,AdaDelta,9,0.006408484733104706,42.468,0.006244357407093048,46.45,34.15257811546326
