model_name,optimizer_name,epoch,train_loss,train_acc,test_loss,test_acc,epoch_train_time,epoch_test_time
Classic,Adam,1,0.06787280016293128,74.66833333333334,27794.605748238468,71.12,12.235938787460327,13.790689706802368
Classic,Adam,2,0.01821930530812436,87.09333333333333,44210.93697288901,81.72,11.52514123916626,13.057607412338257
Classic,Adam,3,0.005731842807400972,90.46666666666667,5023.134868226226,90.84,11.783891677856445,13.264439821243286
Classic,Adam,4,0.005013049481095125,91.31666666666666,2981.8996624656183,91.41,11.734121799468994,13.295612096786499
Classic,Adam,5,0.0045356433525991936,92.00333333333333,25941.245986847018,93.23,11.843236207962036,13.374610900878906
Classic,Adam,6,0.003984178586944472,92.78166666666667,12855.532723936243,93.53,12.924347162246704,14.521918058395386
Classic,Adam,7,0.0034647336697943196,93.63666666666667,6702.1329859882435,93.77,12.67367672920227,14.400763988494873
Classic,Adam,8,0.003097871237449969,94.28,8694.70202868706,93.55,12.353039264678955,13.98941683769226
Classic,Adam,9,0.002794408324438458,94.84666666666666,7839.4736622152805,94.41,12.493300914764404,14.109596967697144
Classic,Adam,10,0.002553562903008424,95.23,8207.628221934761,94.64,12.108273983001709,13.67780590057373
Classic,AdaMax,1,0.010979572210647166,82.23166666666667,22.85704839940369,83.93,11.481590270996094,13.062014818191528
Classic,AdaMax,2,0.006191167507320642,88.66,3.217068436090462,88.55,11.665003299713135,13.2067551612854
Classic,AdaMax,3,0.005119536532803128,90.54,5.30568834231887,88.72,11.713283777236938,13.354037046432495
Classic,AdaMax,4,0.004044173328330119,92.44,2.3907933452398518,89.85,12.123854637145996,13.660342454910278
Classic,AdaMax,5,0.0032468592544590744,93.93833333333333,4.851186233475676,93.24,11.451148271560669,12.968414068222046
Classic,AdaMax,6,0.0026460634199591973,94.98666666666666,0.3553045000366343,94.69,11.845012426376343,13.364396572113037
Classic,AdaMax,7,0.002241314138829087,95.675,0.06370872761741048,95.29,11.984376192092896,13.432527303695679
Classic,AdaMax,8,0.0019209718707871313,96.30666666666667,0.013258232859493001,95.41,11.872342824935913,13.40751051902771
Classic,AdaMax,9,0.0017484448189769562,96.68666666666667,0.05396981517039239,95.35,11.708163261413574,13.195274829864502
Classic,AdaMax,10,0.0016219874901192573,96.93333333333334,0.113853893553972,95.52,12.52173900604248,14.08393383026123
Classic,AdaDelta,1,0.00370112327511888,93.26,0.0021558953436790033,95.65,12.626576662063599,14.570035934448242
Classic,AdaDelta,2,0.0016992149289872032,96.67833333333333,0.0017400667451380287,96.51,13.257356643676758,14.793530464172363
Classic,AdaDelta,3,0.001178728532086825,97.805,0.0015738624388905009,97.02,13.646389722824097,15.498374700546265
Classic,AdaDelta,4,0.0008899750081230499,98.36166666666666,0.0015040351852818276,97.2,11.796085834503174,13.308045625686646
Classic,AdaDelta,5,0.0007111349078254231,98.76833333333333,0.0014430855547398096,97.36,11.845863819122314,13.341436624526978
Classic,AdaDelta,6,0.0005940227751018635,99.00333333333333,0.001389610483685101,97.51,11.776406288146973,13.305935144424438
Classic,AdaDelta,7,0.0005130735746410209,99.14833333333333,0.0013970838999492116,97.55,12.472236633300781,14.008070468902588
Classic,AdaDelta,8,0.0004575610888384593,99.23833333333333,0.0014068867318273988,97.61,12.033868074417114,13.567269325256348
Classic,AdaDelta,9,0.0004196800318653307,99.33166666666666,0.0014162631266470271,97.59,11.930155992507935,13.465665578842163
Classic,AdaDelta,10,0.0003933536805813977,99.39666666666666,0.0014226421541017771,97.64,11.851800918579102,13.391435384750366
Binary,Adam,1,0.04196145570613444,64.77666666666667,0.024613337364792823,71.28,13.838751554489136,15.675818920135498
Binary,Adam,2,0.014107439013322195,78.56,0.10901532596349717,65.9,14.839043140411377,16.52415943145752
Binary,Adam,3,0.014824368322764833,79.405,0.009496882450580597,83.97,14.791047811508179,16.509199619293213
Binary,Adam,4,0.008961182209352653,83.98,0.009720618303865194,80.53,14.102830648422241,15.823915243148804
Binary,Adam,5,0.007988610929623247,85.84333333333333,0.009224524392187596,85.37,14.398693561553955,16.169547080993652
