model_name,optimizer_name,epoch,train_loss,train_acc,test_loss,test_acc,epoch_train_time,epoch_test_time
Classic_conv,Adam,1,0.0032316679003309015,74.05885064535956,0.001435698979701927,89.4860172095882,15.734275102615356,21.903146028518677
Classic_conv,Adam,2,0.0013708223685503153,89.73955132145052,0.0009482818825677559,93.55024585125999,15.55266261100769,21.785922050476074
Classic_conv,Adam,3,0.000956236955508837,93.1737861094038,0.0007571456009395004,94.83328211432084,15.591607332229614,21.849523544311523
Classic_conv,Adam,4,0.0006791618761401017,95.5900430239705,0.0005186077382772721,96.75015365703749,15.575006484985352,21.815662145614624
Classic_conv,Adam,5,0.00046447420706852274,97.2917947141979,0.00043300779140826266,97.09972341733251,15.571654319763184,21.821977138519287
Classic_conv,Adam,6,0.0003588246588023367,97.86032575291948,0.00028372121342018784,98.34818684695759,15.59336256980896,21.835896730422974
Classic_conv,Adam,7,0.0002605517552398516,98.61708666256915,0.0002511200770110661,98.33282114320836,15.5743887424469,21.844090461730957
Classic_conv,Adam,8,0.00017512309394740187,99.24323909035034,0.0001453230579723687,99.1740934234788,15.601592302322388,21.824044227600098
Classic_conv,Adam,9,0.0001283141320139701,99.44683466502765,0.00010989851167467873,99.48140749846343,15.556588649749756,21.814900875091553
Classic_conv,Adam,10,9.375193264202594e-05,99.63122311001844,7.708586146940547e-05,99.64274738783037,15.562376022338867,21.780040979385376
Classic_conv,AdaMax,1,0.003897901714883044,69.05731407498463,0.0018540903761039575,86.96988322065151,15.445656776428223,21.63472557067871
Classic_conv,AdaMax,2,0.0016566818716266657,88.11462814996926,0.0011831280840051343,92.59757221880763,15.46209192276001,21.67872142791748
Classic_conv,AdaMax,3,0.001194355380850184,91.96757836508912,0.0009029618399727176,94.58743085433314,15.425586223602295,21.61750841140747
Classic_conv,AdaMax,4,0.0009029470418465966,94.49139520590043,0.0006752295626216347,96.39290104486786,15.458178281784058,21.728864669799805
Classic_conv,AdaMax,5,0.0006860235520508587,96.23156115550093,0.000523593817387044,97.4262446220037,15.426011323928833,21.59927487373352
Classic_conv,AdaMax,6,0.0005160254018739571,97.579901659496,0.00039671949175608325,98.38275968039336,15.43874192237854,21.632208585739136
Classic_conv,AdaMax,7,0.0003732952162492894,98.63629379225569,0.0002890482681420458,98.90519360786725,15.425383567810059,21.615880489349365
